Бренд;Название;Цена после скидки;Цена до скидки;Рейтинг;Оценки;Артикул;Ссылка
Gembird;Игровая клавиатура с RGB подсветкой;1032,0;3002,0;5,0;1713;321610668;https://www.wildberries.ru/catalog/321610668/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с подсветкой;571,0;1702,0;4,8;1713;264515455;https://www.wildberries.ru/catalog/264515455/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с подсветкой низкие клавиши;691,0;1802,0;4,8;5146;12620088;https://www.wildberries.ru/catalog/12620088/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с подсветкой круглые клавиши;691,0;1802,0;4,8;11737;12620087;https://www.wildberries.ru/catalog/12620087/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с 3 комбинациями подсветки 80%;656,0;2002,0;4,9;319;298119831;https://www.wildberries.ru/catalog/298119831/detail.aspx?targetUrl=SP
Гарнизон;Клавиатура механическая игровая 60%;1339,0;4294,0;4,7;4905;162170313;https://www.wildberries.ru/catalog/162170313/detail.aspx?targetUrl=SP
Гарнизон;Клавиатура механическая игровая 60%;1339,0;4294,0;4,7;4905;187274637;https://www.wildberries.ru/catalog/187274637/detail.aspx?targetUrl=SP
Gembird;Клавиатура механическая игровая с подсветкой 100%;1656,0;4930,0;4,8;8153;268902403;https://www.wildberries.ru/catalog/268902403/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с моноцветной подсветкой;864,0;2402,0;4,8;357;298119832;https://www.wildberries.ru/catalog/298119832/detail.aspx?targetUrl=SP
KZLASKRV;Клавиатура механическая игровая для компьютера с подсветкой;2016,0;4500,0;4,7;367;235104524;https://www.wildberries.ru/catalog/235104524/detail.aspx?targetUrl=SP
Fusion X Pro;Клавиатура механическая игровая с подсветкой;3037,0;7593,0;4,8;942;221747445;https://www.wildberries.ru/catalog/221747445/detail.aspx?targetUrl=SP
mobilebonus;Игровой комплект клавиатура и мышь для телефона;1750,0;3299,0;4,4;428;239727301;https://www.wildberries.ru/catalog/239727301/detail.aspx?targetUrl=SP
Гарнизон;Игровая клавиатура с подсветкой;677,0;1802,0;4,8;23819;16033692;https://www.wildberries.ru/catalog/16033692/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с подсветкой;475,0;1450,0;4,7;1713;310948659;https://www.wildberries.ru/catalog/310948659/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с 3 комбинациями подсветки 80%;656,0;2002,0;4,7;319;310948658;https://www.wildberries.ru/catalog/310948658/detail.aspx?targetUrl=SP
Gembird;Клавиатура игровая с подсветкой;653,0;1702,0;4,6;1713;310948660;https://www.wildberries.ru/catalog/310948660/detail.aspx?targetUrl=SP
XUNFOX;Игровая клавиатура мембранная с подсветкой;1260,0;4500,0;4,6;366;250998067;https://www.wildberries.ru/catalog/250998067/detail.aspx?targetUrl=SP
Fusion X Pro;Клавиатура механическая игровая с подсветкой;3037,0;7593,0;4,9;942;221747447;https://www.wildberries.ru/catalog/221747447/detail.aspx?targetUrl=SP
